system_call,error_code,error_rate,success,failure,timeout,injection_count
access,ENOENT,1,2465,0,0,0
access,ENOMEM,1,2465,0,0,0
arch_prctl,EPERM,0.5,104,3257,0,2361
brk,ENOMEM,0.5,1712,1256,0,18404
clone,EAGAIN,0.5,0,2488,0,4491
clone,ENOMEM,0.5,0,2489,0,4392
close,EINTR,0.5,0,2509,0,4828
dup2,EBADF,0.5,2465,0,0,16929
dup2,EBUSY,0.5,2465,0,0,16881
epoll_create1,EMFILE,0.5,2465,0,0,9837
epoll_create1,ENOMEM,0.5,2465,0,0,9863
epoll_ctl,ENOMEM,0.73,12,2998,0,7584
epoll_ctl,EPERM,0.73,10,3027,0,7683
epoll_pwait,EFAULT,0.11,2351,164,0,116
epoll_pwait,EINTR,0.11,1335,0,13,151
fcntl,EAGAIN,0.5,2465,0,0,94740
fcntl,EBADF,0.5,2465,0,0,94255
fstat,EIO,0.5,2465,0,0,0
futex,EAGAIN,0.05,2389,125,0,141
futex,ENOMEM,0.05,2401,107,0,142
futex,ETIMEDOUT,0.05,2377,149,0,178
getrandom,EAGAIN,0.5,2465,0,0,48085
ioctl,ENOTTY,1,2465,0,0,0
madvise,EAGAIN,0.5,2465,0,0,11013
madvise,ENOMEM,0.5,2465,0,0,11863
mmap,EAGAIN,0.5,1,2763,0,5505
mmap,ENOMEM,0.5,2,2748,0,5583
mprotect,ENOMEM,0.5,0,2469,0,2512
munmap,EAGAIN,0.5,2465,0,0,98143
munmap,ENOMEM,0.5,2465,0,0,98489
nanosleep,EFAULT,0.05,2465,0,0,96201
newfstatat,ENOENT,0.6,183,3208,0,13262
newfstatat,ENOMEM,0.6,167,3198,0,13257
openat,EACCES,0.5,0,2480,0,6594
openat,ENOMEM,0.5,0,2472,0,6505
pipe2,EFAULT,0.5,105,3243,0,4068
prlimit64,EFAULT,0.5,2465,0,0,9774
read,EAGAIN,0.12,0,57,43,541
read,EIO,0.12,25,3108,0,4541
readlinkat,ENOENT,0.5,2465,0,0,9700
readlinkat,ENOMEM,0.5,2465,0,0,9662
rt_sigaction,EFAULT,0.5,0,2465,0,148929
rt_sigprocmask,EFAULT,0.5,0,2465,0,6265
sched_getaffinity,EFAULT,0.5,2465,0,0,9633
set_robust_list,EPERM,0.5,2465,0,0,75536
sigaltstack,ENOMEM,0.5,0,2465,0,2473
tgkill,EAGAIN,0.5,2465,0,0,85445
tgkill,EPERM,0.5,2465,0,0,84847
wait4,EINVAL,0.5,2465,0,0,2
waitid,EINVAL,0.5,2465,0,0,9706
write,EAGAIN,0.5,9,2945,0,6129
write,EIO,0.5,0,2686,0,285081
